epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62504,1.47574,3.09379,1.60493,0.00333,1,0.50317,0.26032,1.22779,3.50947,1.72879,2e-05,2e-05,2e-05
2,13.0903,1.34209,2.8029,1.51467,0.00333,1,0.73814,0.41681,1.09947,3.42782,1.60701,5.802e-05,5.802e-05,5.802e-05
3,19.045,1.25818,2.88275,1.61283,0.00333,1,0.76963,0.48334,1.02395,3.38536,1.50504,9.34e-05,9.34e-05,9.34e-05
4,24.8957,1.23522,2.37424,1.42662,0.00333,1,0.72077,0.45413,1.04986,3.34902,1.46986,0.00012614,0.00012614,0.00012614
5,30.8131,0.98616,1.94501,1.22854,0.00333,1,0.68829,0.46104,1.07131,3.28581,1.39859,0.00015624,0.00015624,0.00015624
6,36.694,0.8957,1.90633,1.15533,0.85875,0.5,0.72254,0.54789,1.04601,3.04289,1.39869,0.0001837,0.0001837,0.0001837
7,42.3773,1.18535,1.99727,1.44636,1,0.48426,0.76911,0.54845,1.01007,2.92869,1.33617,0.00020852,0.00020852,0.00020852
8,51.9154,1.04857,1.83213,1.31377,1,0.55637,0.80182,0.58886,0.93746,2.89592,1.26867,0.0002307,0.0002307,0.0002307
9,62.0308,1.32499,2.07378,1.53493,0.89788,0.7,0.84413,0.60197,0.87288,2.92354,1.19855,0.00025024,0.00025024,0.00025024
10,71.4665,1.07626,1.82358,1.25999,0.77362,0.75,0.87455,0.62326,0.82352,2.9287,1.15732,0.00026714,0.00026714,0.00026714
11,81.0999,0.94374,1.53884,1.19567,0.68204,0.9,0.89935,0.62885,0.84804,2.93896,1.16529,0.0002814,0.0002814,0.0002814
12,90.4684,1.23874,1.74407,1.41312,0.68979,0.77881,0.85002,0.59476,0.89319,2.9496,1.1625,0.00029302,0.00029302,0.00029302
13,100.649,1.10762,1.52913,1.27644,0.87069,0.55,0.85191,0.60334,0.88591,2.95582,1.13347,0.000302,0.000302,0.000302
14,109.576,1.09947,1.54543,1.19161,0.73037,0.9,0.87242,0.6296,0.90039,2.95281,1.14011,0.00030834,0.00030834,0.00030834
15,118.616,0.94478,1.61608,1.12943,0.93946,0.77668,0.94316,0.65598,0.92324,2.95733,1.16306,0.00031204,0.00031204,0.00031204
16,126.936,0.98792,1.44701,1.12791,1,0.5301,0.96204,0.66338,0.91224,2.8952,1.18486,0.0003131,0.0003131,0.0003131
17,134.771,1.06772,1.60921,1.18414,1,0.63273,0.9444,0.66669,0.90108,2.79657,1.18594,0.00031152,0.00031152,0.00031152
18,143.871,0.98437,1.99137,1.20032,1,0.66301,0.92682,0.70262,0.85943,2.76217,1.13918,0.0003073,0.0003073,0.0003073
19,153.096,1.0398,1.45445,1.17379,1,0.67825,0.92214,0.72424,0.84578,2.70139,1.10994,0.00030044,0.00030044,0.00030044
20,162.03,0.74144,1.41548,1.03966,1,0.7609,0.92911,0.74179,0.84111,2.66732,1.12205,0.00029094,0.00029094,0.00029094
21,171.244,0.76878,1.76591,1.1014,0.92372,0.8,0.95116,0.76522,0.81155,2.62886,1.13615,0.0002788,0.0002788,0.0002788
22,180.437,0.88464,1.7979,1.20141,0.94741,0.90072,0.9831,0.75398,0.8113,2.57921,1.18248,0.00026402,0.00026402,0.00026402
23,189.249,0.93579,1.70501,1.21237,0.93205,0.95,0.97598,0.68466,0.86262,2.60604,1.21073,0.0002466,0.0002466,0.0002466
24,197.758,0.87389,1.65017,1.08964,0.901,0.8,0.96048,0.66909,0.86836,2.66391,1.23553,0.00022654,0.00022654,0.00022654
25,206.46,0.90907,2.15139,1.17604,0.84653,0.82801,0.9424,0.66893,0.84496,2.70465,1.16382,0.00020384,0.00020384,0.00020384
26,215.147,0.6175,1.52702,0.9204,0.849,0.84369,0.94098,0.72739,0.78931,2.69727,1.08857,0.0001785,0.0001785,0.0001785
27,223.816,0.80545,1.6985,1.15333,0.97026,0.9,0.96943,0.7782,0.71805,2.61052,1.00613,0.00015052,0.00015052,0.00015052
28,232.84,0.65985,1.58786,0.86555,0.97026,0.9,0.96943,0.7782,0.71805,2.61052,1.00613,0.0001199,0.0001199,0.0001199
29,241.699,0.75649,1.59507,1.06343,1,0.90978,0.97833,0.80093,0.68615,2.53439,0.96086,8.664e-05,8.664e-05,8.664e-05
30,250.65,0.77831,1.63796,1.12185,1,0.94136,0.98071,0.81057,0.66812,2.46516,0.94534,5.074e-05,5.074e-05,5.074e-05
